full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Moisés Caicedo Corozo,Chelsea,Midfielder,57,92.9,0.07,0.05,0.36,0.06,1.94,1.52,24.0,1.0,5.0
João Pedro Junqueira de Jesus,Chelsea,Forward,72,82.27,0.4,0.18,0.11,0.0,1.94,1.52,24.0,1.0,5.0
Alejandro Garnacho Ferreyra,Chelsea,Midfielder,64,67.22,0.33,0.29,0.11,0.0,1.94,1.52,24.0,1.0,5.0
Dean Henderson,Crystal Palace,Goalkeeper,50,100.0,0.0,0.0,0.09,0.0,1.72,1.57,24.0,0.0,15.0
Daniel Muñoz Mejía,Crystal Palace,Defender,58,99.11,0.13,0.18,0.27,0.0,1.72,1.57,24.0,0.0,15.0
Maxence Lacroix,Crystal Palace,Defender,51,100.0,0.1,0.05,0.13,0.0,1.72,1.57,24.0,0.0,15.0
Tyrick Mitchell,Crystal Palace,Defender,50,98.89,0.05,0.06,0.22,0.0,1.72,1.57,24.0,0.0,15.0
Chris Richards,Crystal Palace,Defender,44,99.65,0.03,0.02,0.05,0.0,1.72,1.57,24.0,0.0,15.0
Nathaniel Clyne,Crystal Palace,Defender,38,69.52,0.06,0.14,0.0,0.0,1.72,1.57,24.0,0.0,15.0
Ismaïla Sarr,Crystal Palace,Midfielder,63,95.04,0.42,0.15,0.08,0.0,1.72,1.57,24.0,0.0,15.0
Daichi Kamada,Crystal Palace,Midfielder,50,94.84,0.05,0.06,0.08,0.0,1.72,1.57,24.0,0.0,15.0
Adam Wharton,Crystal Palace,Midfielder,50,93.44,0.04,0.19,0.15,0.05,1.72,1.57,24.0,0.0,15.0
Jean-Philippe Mateta,Crystal Palace,Forward,75,93.62,0.6,0.05,0.09,0.0,1.72,1.57,24.0,0.0,15.0
Yéremy Pino Santos,Crystal Palace,Midfielder,58,80.05,0.22,0.32,0.18,0.0,1.72,1.57,24.0,0.0,15.0
Kiernan Dewsbury-Hall,Everton,Midfielder,49,90.97,0.11,0.2,0.34,0.0,1.22,1.54,24.0,0.0,11.0
Jordan Pickford,Everton,Goalkeeper,56,100.0,0.0,0.0,0.0,0.0,1.22,1.54,24.0,0.0,11.0
James Tarkowski,Everton,Defender,58,100.0,0.05,0.06,0.17,0.0,1.22,1.54,24.0,0.0,11.0
Vitalii Mykolenko,Everton,Defender,49,99.83,0.01,0.03,0.2,0.0,1.22,1.54,24.0,0.0,11.0
Jake O'Brien,Everton,Defender,49,94.25,0.02,0.02,0.05,0.0,1.22,1.54,24.0,0.0,11.0
Michael Keane,Everton,Defender,47,98.25,0.16,0.01,0.0,0.05,1.22,1.54,24.0,0.0,11.0
Iliman Ndiaye,Everton,Midfielder,62,95.1,0.19,0.19,0.12,0.0,1.22,1.54,24.0,0.0,11.0
Idrissa Gana Gueye,Everton,Midfielder,54,91.51,0.11,0.07,0.0,0.08,1.22,1.54,24.0,0.0,11.0
James Garner,Everton,Midfielder,52,99.86,0.08,0.16,0.22,0.0,1.22,1.54,24.0,0.0,11.0
Tim Iroegbunam,Everton,Midfielder,48,60.92,0.03,0.17,0.68,0.0,1.22,1.54,24.0,0.0,11.0
Thierno Barry,Everton,Forward,57,63.0,0.36,0.03,0.14,0.0,1.22,1.54,24.0,0.0,11.0
Jack Grealish,Everton,Midfielder,64,91.39,0.17,0.25,0.11,0.05,1.22,1.54,24.0,0.0,11.0
Bernd Leno,Fulham,Goalkeeper,49,100.0,0.0,0.0,0.13,0.0,1.15,1.58,24.0,0.0,7.0
Antonee Robinson,Fulham,Defender,49,72.73,0.02,0.07,0.0,0.0,1.15,1.58,24.0,0.0,7.0
Joachim Andersen,Fulham,Defender,46,97.53,0.04,0.02,0.19,0.0,1.15,1.58,24.0,0.0,7.0
Calvin Bassey,Fulham,Defender,44,93.89,0.05,0.0,0.2,0.0,1.15,1.58,24.0,0.0,7.0
Jorge Cuenca Barreno,Fulham,Defender,43,85.22,0.01,0.01,0.47,0.0,1.15,1.58,24.0,0.0,7.0
Kenny Tete,Fulham,Defender,45,94.17,0.03,0.05,0.13,0.0,1.15,1.58,24.0,0.0,7.0
Alex Iwobi,Fulham,Midfielder,63,95.42,0.06,0.12,0.12,0.0,1.15,1.58,24.0,0.0,7.0
Ryan Sessegnon,Fulham,Midfielder,54,85.83,0.09,0.1,0.0,0.0,1.15,1.58,24.0,0.0,7.0
Harry Wilson,Fulham,Midfielder,60,87.47,0.18,0.17,0.31,0.0,1.15,1.58,24.0,0.0,7.0
Sander Berge,Fulham,Midfielder,49,92.66,0.01,0.07,0.19,0.0,1.15,1.58,24.0,0.0,7.0
Saša Lukić,Fulham,Midfielder,49,71.05,0.14,0.11,0.44,0.0,1.15,1.58,24.0,0.0,7.0
Raúl Jiménez Rodríguez,Fulham,Forward,62,75.86,0.41,0.09,0.24,0.0,1.15,1.58,24.0,0.0,7.0
Karl Darlow,Leeds,Goalkeeper,39,100.0,0.0,0.0,0.0,0.0,,,24.0,1.0,16.0
Jayden Bogle,Leeds,Defender,44,93.7,0.07,0.06,0.2,0.0,,,24.0,1.0,16.0
Pascal Struijk,Leeds,Defender,43,95.45,0.11,0.03,0.15,0.0,,,24.0,1.0,16.0
Jaka Bijol,Leeds,Defender,39,91.76,0.04,0.07,0.09,0.0,,,24.0,1.0,16.0
Gabriel Gudmundsson,Leeds,Defender,38,93.13,0.03,0.11,0.1,0.0,,,24.0,1.0,16.0
Joe Rodon,Leeds,Defender,39,96.83,0.06,0.01,0.05,0.0,,,24.0,1.0,16.0
Brenden Aaronson,Leeds,Midfielder,54,72.88,0.28,0.24,0.06,0.0,,,24.0,1.0,16.0
Ethan Ampadu,Leeds,Midfielder,49,98.89,0.07,0.04,0.35,0.0,,,24.0,1.0,16.0
Ilia Gruev,Leeds,Midfielder,47,62.54,0.01,0.04,0.23,0.0,,,24.0,1.0,16.0
Sean Longstaff,Leeds,Midfielder,48,75.9,0.07,0.24,0.1,0.0,,,24.0,1.0,16.0
Anton Stach,Leeds,Midfielder,49,90.5,0.12,0.25,0.17,0.0,,,24.0,1.0,16.0
Lucas Estella Perri,Leeds,Goalkeeper,45,100.0,0.0,0.0,0.12,0.0,,,24.0,1.0,16.0
Dominic Calvert-Lewin,Leeds,Forward,60,79.05,0.59,0.08,0.06,0.0,,,24.0,1.0,16.0
Noah Okafor,Leeds,Midfielder,55,63.39,0.24,0.1,0.16,0.0,,,24.0,1.0,16.0
Alisson Becker,Liverpool,Goalkeeper,54,100.0,0.0,0.0,0.0,0.0,1.73,1.34,24.0,1.0,6.0
Giorgi Mamardashvili,Liverpool,Goalkeeper,42,100.0,0.0,0.0,0.0,0.0,1.73,1.34,24.0,1.0,6.0
Milos Kerkez,Liverpool,Defender,56,78.43,0.05,0.08,0.23,0.0,1.73,1.34,24.0,1.0,6.0
Virgil van Dijk,Liverpool,Defender,59,100.0,0.06,0.01,0.13,0.0,1.73,1.34,24.0,1.0,6.0
Ibrahima Konaté,Liverpool,Defender,54,96.06,0.06,0.03,0.24,0.0,1.73,1.34,24.0,1.0,6.0
Conor Bradley,Liverpool,Defender,50,71.26,0.02,0.11,0.47,0.0,1.73,1.34,24.0,1.0,6.0
Mohamed Salah,Liverpool,Midfielder,140,94.59,0.38,0.22,0.07,0.0,1.73,1.34,24.0,1.0,6.0
Florian Wirtz,Liverpool,Midfielder,83,82.27,0.26,0.16,0.06,0.0,1.73,1.34,24.0,1.0,6.0
Cody Gakpo,Liverpool,Midfielder,73,78.94,0.37,0.29,0.06,0.0,1.73,1.34,24.0,1.0,6.0
Alexis Mac Allister,Liverpool,Midfielder,62,75.2,0.12,0.09,0.18,0.0,1.73,1.34,24.0,1.0,6.0
Dominik Szoboszlai,Liverpool,Midfielder,66,99.8,0.15,0.16,0.23,0.0,1.73,1.34,24.0,1.0,6.0
Ryan Gravenberch,Liverpool,Midfielder,57,98.2,0.05,0.07,0.19,0.0,1.73,1.34,24.0,1.0,6.0
Hugo Ekitiké,Liverpool,Forward,88,70.89,0.53,0.11,0.0,0.0,1.73,1.34,24.0,1.0,6.0
Antoine Semenyo,Man City,Midfielder,78,100.0,0.38,0.12,0.27,0.0,1.96,1.2,24.0,0.0,2.0
James Trafford,Man City,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,1.96,1.2,24.0,0.0,2.0
